productType,variantId,sku,prices,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,ingredients,calories,proteins,fats,carbohydrates,weight,allergens,isVegan,isSpicy,variantKey
main,1,A0E200000003AAA,USD 300,All;Sushi;maki,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-avocado_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-avocado_02.webp",Maki with avocado,Maki with avocado,maki-avocado,,,,"Rice, avocado, nori seaweed, soy sauce, ginger, wasabi",211,4,8,28,130,,TRUE,FALSE,A0E200000003AAA
main,1,A0E200000003AAB,USD 4500,All;sets,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/phila-set.webp",Philidelphia set,Philidelphia set,phila-set,,,,"Philadelphia with salmon, Philadelphia with eel, Philadelphia with shrimp, Philadelphia with tuna",1869,172,90,153,1320,"milk,sesame,soy",FALSE,FALSE,A0E200000003AAB
main,1,A0E2000000003AAC,USD 6500,All;sets, "https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/set-xxl_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/set-xxl_02.webp",Set XXL,Set XXL,set-xxl,,,,"Roll with tuna in chips, cream cheese and cucumbers, California with salmon, California with eel Spicy salmon and mango, Dragon with eel, salmon and snow crab, Philadelphia with salmon, Philadelphia with eel and tamago omelette, Philadelphia with shrimp. Soy sauce, ginger, wasabi.",3977,275,180,367,2530,"milk,sesame,egg,soy,mustard",FALSE,FALSE,A0E2000000003AAC
main,1,A0E200000003AAD,USD 5000,All;sets,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/set-four-salmons_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/set-four-salmons_02.webp",Set Four flavors of salmon,Set Four flavors of salmon,set-four-salmons,,,,"Philadelphia mit Lachs, Rollen Sie mit leicht gesalzenem Lachs und Garnelen, Philadelphia mit geräuchertem Lachs (scharf), Philadelphia mit Lachs-Tataki (verbrannt) Sojasauce, Ingwer, Wasabi",2205,131,100,185,1405,"milk,soy,egg,sesame,mustard",FALSE,FALSE,A0E200000003AAD
main,1,A0E200000003AAE,USD 500,All;main-dishes;noodle,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/noodles-chick.jpg",Udon noodles with chicken,Udon noodles with chicken,noodles-chick,,,,"Udon noodles, chicken, bell pepper, champignon mushrooms, carrots, garlic, unagi sauce, ginger, chili pepper, lime, sesame",550,32,17,67,320,sesame,FALSE,TRUE,A0E200000003AAE
main,1,A0E200000004AAA,USD 700,All;main-dishes;noodle,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/noodles-beef.jpg",Udon noodles with beef,Udon noodles with beef,noodles-beef,,,,"Udon noodles, beef, bell pepper, champignon mushrooms, carrots, garlic, unagi sauce, ginger, chili pepper, lime, sesame",622,50,17,67,320,sesame,FALSE,TRUE,A0E200000004AAA
main,1,A0E200000004AAB,USD 600,All;main-dishes;noodle,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/noodles-veggies.jpg",Udon noodles with vegetables,Udon noodles with vegetables,noodles-veggies,,,,"Udon noodles, corn, vegetable oil, peas, bell pepper, champignon mushrooms, carrots, garlic, unagi sauce, ginger, chili pepper, lime, sesame",621,15,20,90,310,sesame,TRUE,FALSE,A0E200000004AAB
main,1,A0E2000000004AAC,USD 700,All;main-dishes;rice,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/rice-beef.jpg",Rice with beef,Rice with beef,rice-beef,,,,"Rice, beef, bell pepper, champignon mushrooms, carrot, garlic, unagi sauce, ginger, chili pepper, lime, sesame",650,45,15,80,310,sesame,FALSE,TRUE,A0E2000000004AAC
main,1,A0E200000004AAD,USD 600,All;main-dishes;rice,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/rice-veggies.jpg",Rice with vegatables,Rice with vegatables,rice-veggies,,,,"Rice, corn, vegetable oil, peas, bell pepper, champignon mushrooms, carrot, garlic, unagi sauce, ginger, cilantro, chili pepper, lime, sesame",610,15,15,90,310,sesame,TRUE,FALSE,A0E200000004AAD
main,1,A0E200000004AAE,USD 500,All;drinks;crafted,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/lemo-mango.webp",Lemonade "Mango-Marakuya",Lemonade "Mango-Marakuya",lemo-mango,,,,"Mango, passion fruit, fresh lemon, water, sugar",355,4,2,73,500,,TRUE,FALSE,A0E200000004AAE
main,1,A0E200000005AAA,USD 500,All;drinks;crafted,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/lemo-mint.webp",Lemonade "Citrus-Mint",Lemonade "Citrus-Mint",lemo-mint,,,,"Lemon, lemon juice, water, sugar",251,3,2,53,500,,TRUE,FALSE,A0E200000005AAA
main,1,A0E200000005AAB,USD 500,All;drinks;crafted,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/lemo-citrus.webp",Lemonade "Fresh Citrus",Lemonade "Fresh Citrus",lemo-citrus,,,,"Orange juice, grapefruit juice, lemon juice, water, sugar",320,3,1,77,500,,TRUE,FALSE,A0E200000005AAB
main,1,A0E2000000005AAC,USD 150,All;drinks;bottled,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/cola.jpg",Coca cola,Coca cola,cola,,,,"Carbonated water, corn syrup, caffeine",240,0,0,65,500,,FALSE,FALSE,A0E2000000005AAC
main,1,A0E200000005AAD,USD 300,All;drinks;bottled,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/orange-juice.jpg",Orange juice Rich,Orange juice Rich,orange-juice,,,,"Orange juice, water",480,0,0,130,1000,,TRUE,FALSE,A0E200000005AAD
main,1,A0E200000005AAE,USD 300,All;soups,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/miso-tofu_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/miso-tofu_02.webp",Miso soup with tofu,Miso soup with tofu,miso-tofu,,,,"Tofu, Miso-Brühe, Khondashi, Wakame-Algen, Frühlingszwiebeln, Sesam",122,9.5,5,9,350,"soy,sesame",TRUE,FALSE,A0E200000005AAE
main,1,A0E200000006AAA,USD 1000,All;soups,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/tom-yam_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/tom-yam_02.webp",Tom-yam soup,Tom-yam soup,tom-yam,,,,"Salmon fillet, mussel meat, tiger prawns, cherry tomatoes, Tom-yam pasta, coconut milk, dark soy sauce, chili pepper, lemon, garlic, lime leaf, ginger, Hondashi, cilantro, sugar",370,22,25,14,420,"milk,coconut,pepper,mussels,lemon,garlic,ginger",FALSE,TRUE,A0E200000006AAA
main,1,A0E200000006AAB,USD 700,All;soups,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/miso-salmon_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/miso-salmon_02.webp",Miso soup with salmon,Miso soup with salmon,miso-salmon,,,,"Salmon fillet, miso broth, kondashi, wakame seaweed, green onion, sesame",156,15,6,8,350,"soy,sesame",FALSE,FALSE,A0E200000006AAB
main,1,A0E2000000006AAC,USD 1200, All;soups,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/ramen_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/ramen_02.webp",Ramen with shrimps,Ramen with shrimps,ramen,,,,"Ramen broth (meat), egg noodles, shrimp, mushrooms, pickled egg, chili pepper, green onion, sesame, nori seaweed" ,607,40,20,73,450,"egg,soy,sesame,pepper",FALSE,TRUE,A0E2000000006AAC
main,1,A0E200000006AAD,USD 700,All;soups,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/cream-salmon_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/cream-salmon_02.webp",Cream soup with salmon,Cream soup with salmon,cream-salmon,,,,"Salmon, cream, milk, shrimp, onion, black tobika caviar, microgreens, salt, ground pepper, kondashi",444,39,53,9,320,"milk,pepper",FALSE,TRUE,A0E200000006AAD
main,1,A0E200000006AAE,USD 700,All;salads,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/bowl-veggies.jpg",Bowl of vegetables,Bowl of vegetables,bowl-veggies,,,,"Rice, cherry tomatoes, shiitake mushrooms, takuan, edamame beans, chuka, microgreen radish, microgreen alfalfa, cream sauce, truffle sauce",320,12,19,32,300,,TRUE,FALSE,A0E200000006AAE
main,1,A0E200000007AAA,USD 500,All;salads,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/chuka.jpg",Chuka salad,Chuka salad,chuka,,,,"Chuka salad with nut sauce",163,5,9,24,160,,TRUE,FALSE,A0E200000007AAA
main,1,A0E200000007AAB,USD 900,All;salads,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/chuka-tofu_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/chuka-tofu_02.webp",Vegetarian salad with tofu and chuka,Vegetarian salad with tofu and chuka,chuka-tofu,,,,"Fried tofu cheese, cherry tomatoes, chuka, salad mix, avocado, wood mushrooms, daikon radish, nut sauce, cashew nuts, unagi sauce, microgreens",470,12,37,28,340,"nuts,soy,sesame",TRUE,FALSE,A0E200000007AAB
main,1,A0E2000000007AAC,USD 500,All;salads,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/spring-roll_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/spring-roll_02.webp",Spring roll with lightly salted salmon,Spring roll with lightly salted salmon,spring-roll,,,,"Lightly salted salmon, cream cheese, iceberg lettuce, spice sauce, cucumbers, rice paper, unagi sauce, microgreens",308,11,19,25,150,"milk,soy,sesame,lemon",FALSE,FALSE,A0E2000000007AAC
main,1,A0E200000007AAD,USD 1200,All;salads,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/bowl-prawn.jpg",Bowl with tiger prawn,Bowl with tiger prawn,bowl-prawn,,,,"Rice, cherry tomatoes, shiitake mushrooms, takuan, edamame beans, tiger shrimp, microgreen radish, microgreen alfalfa, cream sauce, truffle sauce",380,32,19,12,310,,FALSE,FALSE,A0E200000007AAD

